base_score,[482.00308049]
age,Score
"(-inf, 36.0]",-4.215388737978161
"(36.0, 54.0]",-2.2536602710575426
"(54.0, 61.0]",1.9817548160407954
"(61.0, 74.0]",8.16088267145138
"(74.0, inf]",13.792778986378813
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 0.0991]",47.90060797250636
"(0.0991, 0.298]",14.476837425398847
"(0.298, 0.465]",-2.7523688046744783
"(0.465, 0.983]",-23.32341852051899
"(0.983, 1.0]",-10.388297667531873
"(1.0, inf]",-44.277417620028615
DebtRatio,Score
"(-inf, 0.0174]",34.54273144555035
"(0.0174, 0.321]",1.7043549224451904
"(0.321, 1.472]",-7.199151578939134
"(1.472, inf]",4.019737853456941
MonthlyIncome,Score
"(-inf, 0.104]",22.22388266897878
"(0.104, 5597.679]",-3.6993018295754365
"(5597.679, inf]",3.6104658924719857
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 1.0]",-6.214572714624962
"(1.0, 3.0]",-2.4724398234583527
"(3.0, 5.0]",-0.3895270024194025
"(5.0, 17.0]",0.9200797676570617
"(17.0, inf]",3.33944920398982
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 0.0]",5.509510229091931
"(0.0, 1.0]",-13.687274980081206
"(1.0, 2.0]",-21.504878911369968
"(2.0, inf]",-24.02696351302784
NumberOfTimes90DaysLate,Score
"(-inf, 0.0]",3.8907577553794686
"(0.0, 1.0]",-29.00909463632596
"(1.0, 2.0]",-37.16693452412731
"(2.0, inf]",-39.578110239511915
NumberRealEstateLoansOrLines,Score
"(-inf, 0.0]",-10.553693826054252
"(0.0, 1.0]",5.21712394297619
"(1.0, 2.0]",16.49608029986588
"(2.0, 4.0]",10.714292853253031
"(4.0, inf]",-8.15815518477721
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 0.0]",0.9835294462059518
"(0.0, 1.0]",-10.961693023032444
"(1.0, 2.0]",-13.958410919170875
"(2.0, inf]",-14.400351613820693
NumberOfDependents,Score
"(-inf, 0.0]",15.618889049611898
"(0.0, 1.0]",-12.204500395724471
"(1.0, 2.0]",-12.643225847244777
"(2.0, inf]",-11.27104627634495
